segment_onset,segment_offset,speaker_type,raw_filename
125,6030,FEM,all.rttm
128,8888,NA,all.rttm
4877,4993,CHI,all.rttm
6023,6170,OCH,all.rttm
6526,8497,CHI,all.rttm
6669,6777,OCH,all.rttm
9318,23213,NA,all.rttm
9403,10203,CHI,all.rttm
9428,19167,FEM,all.rttm
9531,10010,OCH,all.rttm
16013,16406,CHI,all.rttm
18993,20436,CHI,all.rttm
19268,19411,OCH,all.rttm
20147,22658,FEM,all.rttm
22511,23191,CHI,all.rttm
23603,24371,CHI,all.rttm
23603,41720,NA,all.rttm
24362,26011,FEM,all.rttm
25562,27493,CHI,all.rttm
26511,26631,OCH,all.rttm
26754,27321,OCH,all.rttm
27493,27645,OCH,all.rttm
28011,28436,FEM,all.rttm
28088,28216,OCH,all.rttm
28321,28912,OCH,all.rttm
28546,29393,CHI,all.rttm
29702,34125,FEM,all.rttm
31636,32011,CHI,all.rttm
31700,32010,OCH,all.rttm
34297,35147,OCH,all.rttm
34300,36011,CHI,all.rttm
35490,36011,OCH,all.rttm
35998,40863,FEM,all.rttm
37417,38492,CHI,all.rttm
39214,40188,CHI,all.rttm
40399,41722,CHI,all.rttm
42366,43520,FEM,all.rttm
42370,43528,NA,all.rttm
43983,53063,NA,all.rttm
44008,47148,FEM,all.rttm
44211,44812,MAL,all.rttm
45007,46021,CHI,all.rttm
47088,47604,OCH,all.rttm
47363,47511,CHI,all.rttm
47950,49911,CHI,all.rttm
49493,53040,FEM,all.rttm
53229,76125,NA,all.rttm
53234,55725,CHI,all.rttm
55011,55511,OCH,all.rttm
55715,57598,FEM,all.rttm
57491,58014,CHI,all.rttm
57675,57842,OCH,all.rttm
57792,60079,FEM,all.rttm
60014,61074,CHI,all.rttm
60583,63759,FEM,all.rttm
62414,63060,CHI,all.rttm
63907,66067,FEM,all.rttm
66218,68012,CHI,all.rttm
67188,68011,FEM,all.rttm
68251,70772,FEM,all.rttm
70062,71493,OCH,all.rttm
71086,72993,FEM,all.rttm
72525,72658,OCH,all.rttm
72814,74010,CHI,all.rttm
73042,73899,OCH,all.rttm
73934,76011,FEM,all.rttm
75082,75990,MAL,all.rttm
76294,81314,NA,all.rttm
76363,78682,CHI,all.rttm
78011,78510,OCH,all.rttm
78511,81275,FEM,all.rttm
81503,96780,NA,all.rttm
81547,83400,FEM,all.rttm
83303,84992,CHI,all.rttm
84512,87492,FEM,all.rttm
87053,90760,CHI,all.rttm
90403,95012,FEM,all.rttm
90936,91118,CHI,all.rttm
94255,95526,OCH,all.rttm
94483,95642,CHI,all.rttm
95875,96752,CHI,all.rttm
95923,96492,FEM,all.rttm
97014,98011,NA,all.rttm
97014,98018,FEM,all.rttm
98641,99696,FEM,all.rttm
98646,100401,NA,all.rttm
99681,100412,CHI,all.rttm
101177,101430,FEM,all.rttm
101183,101431,NA,all.rttm
